assignment_id,rep_id,fiscal_year,fiscal_quarter,quota_usd,quota_type,effective_date,end_date,version,change_reason,approved_by
QA-000043,REP-003,2023,Q3-2023,277115.0,ARR,2023-07-01,2023-08-30,2,New hire ramp,MGR-002
QA-000044,REP-003,2023,Q3-2023,824565.88,ARR,2023-07-01,2023-09-28,3,Mid-year adjustment,MGR-001
QA-000045,REP-003,2023,Q4-2023,872433.46,REVENUE,2023-10-01,2023-10-30,1,Initial,MGR-002
QA-000046,REP-003,2023,Q4-2023,177124.66,BOOKINGS,2023-10-01,2023-11-23,2,New hire ramp,MGR-002
QA-000047,REP-003,2023,Q4-2023,299942.06,BOOKINGS,2023-10-01,2023-12-28,3,Mid-year adjustment,MGR-002
QA-000048,REP-003,2024,Q1-2024,683296.91,REVENUE,2024-01-01,2024-02-23,1,Initial,MGR-001
QA-000049,REP-003,2024,Q1-2024,450936.94,ARR,2024-01-01,2024-01-23,2,Territory realignment,MGR-003
QA-000050,REP-003,2024,Q1-2024,431459.12,ARR,2024-01-01,2024-03-28,3,Annual planning,MGR-002
QA-000051,REP-003,2024,Q2-2024,284959.15,REVENUE,2024-04-01,2024-05-01,1,Initial,MGR-003
QA-000052,REP-003,2024,Q2-2024,411042.25,ARR,2024-04-01,2024-06-28,2,Annual planning,MGR-001
QA-000053,REP-003,2024,Q3-2024,323550.72,BOOKINGS,2024-07-01,2024-08-26,1,Initial,MGR-001
QA-000054,REP-003,2024,Q3-2024,321560.41,REVENUE,2024-07-01,2024-07-26,2,Mid-year adjustment,MGR-003
QA-000055,REP-003,2024,Q3-2024,809900.84,REVENUE,2024-07-01,2024-09-28,3,Territory realignment,MGR-002
QA-000056,REP-003,2024,Q4-2024,893509.44,REVENUE,2024-10-01,2024-10-27,1,Initial,MGR-001
QA-000057,REP-003,2024,Q4-2024,889773.68,REVENUE,2024-10-01,2024-12-28,2,Promotion,MGR-001
QA-000058,REP-004,2023,Q1-2023,457148.02,ARR,2023-01-01,2023-02-25,1,Initial,MGR-002
QA-000059,REP-004,2023,Q1-2023,422155.53,REVENUE,2023-01-01,2023-03-28,2,Promotion,MGR-003
QA-000060,REP-004,2023,Q2-2023,440582.8,REVENUE,2023-04-01,2023-05-26,1,Initial,MGR-002
QA-000061,REP-004,2023,Q2-2023,742387.45,REVENUE,2023-04-01,2023-05-05,2,Promotion,MGR-002
QA-000062,REP-004,2023,Q2-2023,875089.5,REVENUE,2023-04-01,2023-06-28,3,Performance correction,MGR-002
QA-000063,REP-004,2023,Q3-2023,588976.53,ARR,2023-07-01,2023-09-28,1,Initial,MGR-003
QA-000064,REP-004,2023,Q4-2023,153013.92,REVENUE,2023-10-01,2023-11-30,1,Initial,MGR-002
QA-000065,REP-004,2023,Q4-2023,545865.42,ARR,2023-10-01,2023-12-28,2,Annual planning,MGR-002
QA-000066,REP-004,2024,Q1-2024,333422.0,ARR,2024-01-01,2024-02-20,1,Initial,MGR-002
QA-000067,REP-004,2024,Q1-2024,574930.82,BOOKINGS,2024-01-01,2024-03-28,2,Performance correction,MGR-001
QA-000068,REP-004,2024,Q2-2024,845191.52,REVENUE,2024-04-01,2024-05-16,1,Initial,MGR-003
QA-000069,REP-004,2024,Q2-2024,297272.05,ARR,2024-04-01,2024-06-28,2,Territory realignment,MGR-002
QA-000070,REP-004,2024,Q3-2024,824954.7,ARR,2024-07-01,2024-09-28,1,Initial,MGR-002
QA-000071,REP-004,2024,Q4-2024,374123.03,BOOKINGS,2024-10-01,2024-11-04,1,Initial,MGR-002
QA-000072,REP-004,2024,Q4-2024,671580.4,ARR,2024-10-01,2024-12-28,2,Territory realignment,MGR-003
QA-000073,REP-005,2023,Q1-2023,650393.87,BOOKINGS,2023-01-01,2023-03-28,1,Initial,MGR-002
QA-000074,REP-005,2023,Q2-2023,431198.81,ARR,2023-04-01,2023-05-05,1,Initial,MGR-003
QA-000075,REP-005,2023,Q2-2023,829592.3,REVENUE,2023-04-01,2023-05-23,2,Promotion,MGR-002
QA-000076,REP-005,2023,Q2-2023,349643.73,ARR,2023-04-01,2023-06-28,3,Mid-year adjustment,MGR-001
QA-000077,REP-005,2023,Q3-2023,130025.27,REVENUE,2023-07-01,2023-08-14,1,Initial,MGR-002
QA-000078,REP-005,2023,Q3-2023,359515.44,REVENUE,2023-07-01,2023-08-07,2,Territory realignment,MGR-002
QA-000079,REP-005,2023,Q3-2023,497225.5,REVENUE,2023-07-01,2023-09-28,3,Mid-year adjustment,MGR-001
QA-000080,REP-005,2023,Q4-2023,238446.56,BOOKINGS,2023-10-01,2023-11-23,1,Initial,MGR-003
QA-000081,REP-005,2023,Q4-2023,544313.02,REVENUE,2023-10-01,2023-12-28,2,Promotion,MGR-001
QA-000082,REP-005,2024,Q1-2024,870027.42,BOOKINGS,2024-01-01,2024-01-21,1,Initial,MGR-003
QA-000083,REP-005,2024,Q1-2024,266658.45,REVENUE,2024-01-01,2024-02-16,2,New hire ramp,MGR-002
QA-000084,REP-005,2024,Q1-2024,102043.18,ARR,2024-01-01,2024-03-28,3,Performance correction,MGR-001
QA-000085,REP-005,2024,Q2-2024,492677.4,REVENUE,2024-04-01,2024-05-04,1,Initial,MGR-003
QA-000086,REP-005,2024,Q2-2024,225411.23,ARR,2024-04-01,2024-06-28,2,New hire ramp,MGR-001
QA-000087,REP-005,2024,Q3-2024,355059.32,REVENUE,2024-07-01,2024-08-14,1,Initial,MGR-001
QA-000088,REP-005,2024,Q3-2024,430562.97,REVENUE,2024-07-01,2024-08-23,2,New hire ramp,MGR-003
QA-000089,REP-005,2024,Q3-2024,470014.36,REVENUE,2024-07-01,2024-09-28,3,Promotion,MGR-003
QA-000090,REP-005,2024,Q4-2024,265582.59,REVENUE,2024-10-01,2024-11-22,1,Initial,MGR-003
QA-000091,REP-005,2024,Q4-2024,287928.77,ARR,2024-10-01,2024-10-26,2,Territory realignment,MGR-001
QA-000092,REP-005,2024,Q4-2024,233174.39,BOOKINGS,2024-10-01,2024-12-28,3,Territory realignment,MGR-003
QA-000093,REP-006,2023,Q1-2023,387172.57,REVENUE,2023-01-01,2023-02-01,1,Initial,MGR-001
QA-000094,REP-006,2023,Q1-2023,809880.73,BOOKINGS,2023-01-01,2023-03-28,2,Territory realignment,MGR-002
QA-000095,REP-006,2023,Q2-2023,355474.54,BOOKINGS,2023-04-01,2023-05-14,1,Initial,MGR-003
QA-000096,REP-006,2023,Q2-2023,402421.31,ARR,2023-04-01,2023-06-28,2,Mid-year adjustment,MGR-003
QA-000097,REP-006,2023,Q3-2023,878034.79,ARR,2023-07-01,2023-09-28,1,Initial,MGR-003
QA-000098,REP-006,2023,Q4-2023,727373.05,BOOKINGS,2023-10-01,2023-10-21,1,Initial,MGR-001
QA-000099,REP-006,2023,Q4-2023,797158.85,BOOKINGS,2023-10-01,2023-12-28,2,Territory realignment,MGR-002
QA-000100,REP-006,2024,Q1-2024,518696.74,ARR,2024-01-01,2024-03-28,1,Initial,MGR-002
QA-000101,REP-006,2024,Q2-2024,140634.69,BOOKINGS,2024-04-01,2024-06-28,1,Initial,MGR-001
QA-000102,REP-006,2024,Q3-2024,697094.5,BOOKINGS,2024-07-01,2024-09-28,1,Initial,MGR-001
QA-000103,REP-006,2024,Q4-2024,627993.09,REVENUE,2024-10-01,2024-10-25,1,Initial,MGR-001
QA-000104,REP-006,2024,Q4-2024,452404.2,BOOKINGS,2024-10-01,2024-12-28,2,Annual planning,MGR-003
QA-000105,REP-007,2023,Q1-2023,334626.33,ARR,2023-01-01,2023-03-28,1,Initial,MGR-002
QA-000106,REP-007,2023,Q2-2023,470418.07,ARR,2023-04-01,2023-05-29,1,Initial,MGR-001
QA-000107,REP-007,2023,Q2-2023,508212.29,BOOKINGS,2023-04-01,2023-06-28,2,Mid-year adjustment,MGR-001
QA-000108,REP-007,2023,Q3-2023,793447.09,BOOKINGS,2023-07-01,2023-08-14,1,Initial,MGR-002
QA-000109,REP-007,2023,Q3-2023,365919.83,BOOKINGS,2023-07-01,2023-08-19,2,Territory realignment,MGR-002
QA-000110,REP-007,2023,Q3-2023,728247.89,BOOKINGS,2023-07-01,2023-09-28,3,New hire ramp,MGR-001
QA-000111,REP-007,2023,Q4-2023,434336.83,BOOKINGS,2023-10-01,2023-11-01,1,Initial,MGR-001
QA-000112,REP-007,2023,Q4-2023,288373.59,ARR,2023-10-01,2023-12-28,2,New hire ramp,MGR-001
QA-000113,REP-007,2024,Q1-2024,586400.48,ARR,2024-01-01,2024-02-09,1,Initial,MGR-002
QA-000114,REP-007,2024,Q1-2024,420204.78,ARR,2024-01-01,2024-02-27,2,Annual planning,MGR-003
QA-000115,REP-007,2024,Q1-2024,663363.39,ARR,2024-01-01,2024-03-28,3,Performance correction,MGR-001
QA-000116,REP-007,2024,Q2-2024,706238.74,ARR,2024-04-01,2024-05-20,1,Initial,MGR-003
QA-000117,REP-007,2024,Q2-2024,330758.13,BOOKINGS,2024-04-01,2024-04-23,2,Performance correction,MGR-001
QA-000118,REP-007,2024,Q2-2024,254370.44,REVENUE,2024-04-01,2024-06-28,3,Territory realignment,MGR-003
QA-000119,REP-007,2024,Q3-2024,366915.45,REVENUE,2024-07-01,2024-08-06,1,Initial,MGR-003
QA-000120,REP-007,2024,Q3-2024,412273.62,ARR,2024-07-01,2024-09-28,2,Mid-year adjustment,MGR-002
QA-000121,REP-007,2024,Q4-2024,792755.28,REVENUE,2024-10-01,2024-10-24,1,Initial,MGR-003
QA-000122,REP-007,2024,Q4-2024,266630.35,REVENUE,2024-10-01,2024-11-28,2,New hire ramp,MGR-003
QA-000123,REP-007,2024,Q4-2024,650277.04,BOOKINGS,2024-10-01,2024-12-28,3,Mid-year adjustment,MGR-001
QA-000124,REP-008,2023,Q1-2023,167813.31,REVENUE,2023-01-01,2023-01-31,1,Initial,MGR-002
QA-000125,REP-008,2023,Q1-2023,364287.11,BOOKINGS,2023-01-01,2023-02-10,2,New hire ramp,MGR-003
QA-000126,REP-008,2023,Q1-2023,577253.68,REVENUE,2023-01-01,2023-03-28,3,Promotion,MGR-001
QA-000127,REP-008,2023,Q2-2023,409889.3,ARR,2023-04-01,2023-05-16,1,Initial,MGR-002
QA-000128,REP-008,2023,Q2-2023,204895.99,REVENUE,2023-04-01,2023-06-28,2,Annual planning,MGR-002
QA-000129,REP-008,2023,Q3-2023,852920.2,BOOKINGS,2023-07-01,2023-08-03,1,Initial,MGR-002
QA-000130,REP-008,2023,Q3-2023,880165.11,BOOKINGS,2023-07-01,2023-08-23,2,Performance correction,MGR-001
QA-000131,REP-008,2023,Q3-2023,617880.73,BOOKINGS,2023-07-01,2023-09-28,3,Annual planning,MGR-001
QA-000132,REP-008,2023,Q4-2023,288914.64,BOOKINGS,2023-10-01,2023-10-27,1,Initial,MGR-002
QA-000133,REP-008,2023,Q4-2023,486620.44,BOOKINGS,2023-10-01,2023-12-28,2,Promotion,MGR-003
QA-000134,REP-008,2024,Q1-2024,625142.21,ARR,2024-01-01,2024-02-27,1,Initial,MGR-001
QA-000135,REP-008,2024,Q1-2024,694705.86,ARR,2024-01-01,2024-03-28,2,Mid-year adjustment,MGR-002
QA-000136,REP-008,2024,Q2-2024,483552.0,BOOKINGS,2024-04-01,2024-05-15,1,Initial,MGR-001
QA-000137,REP-008,2024,Q2-2024,437340.92,BOOKINGS,2024-04-01,2024-05-28,2,Territory realignment,MGR-002
QA-000138,REP-008,2024,Q2-2024,566096.82,REVENUE,2024-04-01,2024-06-28,3,Mid-year adjustment,MGR-001
QA-000139,REP-008,2024,Q3-2024,367586.28,ARR,2024-07-01,2024-08-09,1,Initial,MGR-001
QA-000140,REP-008,2024,Q3-2024,530474.51,ARR,2024-07-01,2024-07-31,2,Performance correction,MGR-002
QA-000141,REP-008,2024,Q3-2024,821725.69,REVENUE,2024-07-01,2024-09-28,3,New hire ramp,MGR-003
QA-000142,REP-008,2024,Q4-2024,401654.17,ARR,2024-10-01,2024-10-29,1,Initial,MGR-002
QA-000143,REP-008,2024,Q4-2024,557139.09,REVENUE,2024-10-01,2024-11-15,2,Mid-year adjustment,MGR-003
QA-000144,REP-008,2024,Q4-2024,410922.32,BOOKINGS,2024-10-01,2024-12-28,3,Territory realignment,MGR-003
QA-000145,REP-009,2023,Q1-2023,772943.18,ARR,2023-01-01,2023-02-17,1,Initial,MGR-003
QA-000146,REP-009,2023,Q1-2023,582018.94,REVENUE,2023-01-01,2023-02-15,2,New hire ramp,MGR-002
QA-000147,REP-009,2023,Q1-2023,514573.68,REVENUE,2023-01-01,2023-03-28,3,New hire ramp,MGR-001
QA-000148,REP-009,2023,Q2-2023,531384.68,REVENUE,2023-04-01,2023-04-28,1,Initial,MGR-002
QA-000149,REP-009,2023,Q2-2023,567268.44,ARR,2023-04-01,2023-06-28,2,Performance correction,MGR-003
QA-000150,REP-009,2023,Q3-2023,142351.03,BOOKINGS,2023-07-01,2023-08-29,1,Initial,MGR-002
QA-000151,REP-009,2023,Q3-2023,308329.63,BOOKINGS,2023-07-01,2023-09-28,2,Mid-year adjustment,MGR-002
QA-000152,REP-009,2023,Q4-2023,462185.08,BOOKINGS,2023-10-01,2023-12-28,1,Initial,MGR-002
QA-000153,REP-009,2024,Q1-2024,681073.89,BOOKINGS,2024-01-01,2024-02-11,1,Initial,MGR-003
QA-000154,REP-009,2024,Q1-2024,429571.84,REVENUE,2024-01-01,2024-03-28,2,New hire ramp,MGR-002
QA-000155,REP-009,2024,Q2-2024,761771.71,REVENUE,2024-04-01,2024-05-20,1,Initial,MGR-003
QA-000156,REP-009,2024,Q2-2024,480202.91,REVENUE,2024-04-01,2024-06-28,2,Promotion,MGR-002
QA-000157,REP-009,2024,Q3-2024,797667.15,REVENUE,2024-07-01,2024-09-28,1,Initial,MGR-003
QA-000158,REP-009,2024,Q4-2024,845262.9,BOOKINGS,2024-10-01,2024-12-28,1,Initial,MGR-001
QA-000159,REP-010,2023,Q1-2023,459067.2,REVENUE,2023-01-01,2023-03-28,1,Initial,MGR-003
QA-000160,REP-010,2023,Q2-2023,282710.18,BOOKINGS,2023-04-01,2023-06-28,1,Initial,MGR-003
QA-000161,REP-010,2023,Q3-2023,651389.88,ARR,2023-07-01,2023-08-28,1,Initial,MGR-001
QA-000162,REP-010,2023,Q3-2023,621739.36,BOOKINGS,2023-07-01,2023-08-25,2,New hire ramp,MGR-002
QA-000163,REP-010,2023,Q3-2023,484247.01,REVENUE,2023-07-01,2023-09-28,3,Performance correction,MGR-002
QA-000164,REP-010,2023,Q4-2023,185049.56,ARR,2023-10-01,2023-10-22,1,Initial,MGR-003
QA-000165,REP-010,2023,Q4-2023,637877.58,REVENUE,2023-10-01,2023-12-28,2,New hire ramp,MGR-003
QA-000166,REP-010,2024,Q1-2024,888102.65,BOOKINGS,2024-01-01,2024-03-28,1,Initial,MGR-002
QA-000167,REP-010,2024,Q2-2024,653290.48,BOOKINGS,2024-04-01,2024-05-21,1,Initial,MGR-003
QA-000168,REP-010,2024,Q2-2024,751577.97,REVENUE,2024-04-01,2024-05-16,2,Promotion,MGR-002
QA-000169,REP-010,2024,Q2-2024,153638.93,BOOKINGS,2024-04-01,2024-06-28,3,Mid-year adjustment,MGR-002
QA-000170,REP-010,2024,Q3-2024,687857.07,ARR,2024-07-01,2024-08-18,1,Initial,MGR-002
QA-000171,REP-010,2024,Q3-2024,156001.37,REVENUE,2024-07-01,2024-09-28,2,Mid-year adjustment,MGR-003
QA-000172,REP-010,2024,Q4-2024,732896.39,REVENUE,2024-10-01,2024-11-03,1,Initial,MGR-001
QA-000173,REP-010,2024,Q4-2024,108280.55,REVENUE,2024-10-01,2024-12-28,2,Mid-year adjustment,MGR-003
QA-000174,REP-011,2023,Q1-2023,342436.99,ARR,2023-01-01,2023-01-29,1,Initial,MGR-003
QA-000175,REP-011,2023,Q1-2023,437103.26,REVENUE,2023-01-01,2023-03-28,2,New hire ramp,MGR-002
QA-000176,REP-011,2023,Q2-2023,393013.92,BOOKINGS,2023-04-01,2023-05-16,1,Initial,MGR-003
QA-000177,REP-011,2023,Q2-2023,489208.81,REVENUE,2023-04-01,2023-06-28,2,Territory realignment,MGR-001
QA-000178,REP-011,2023,Q3-2023,315219.36,REVENUE,2023-07-01,2023-08-09,1,Initial,MGR-002
QA-000179,REP-011,2023,Q3-2023,872646.59,ARR,2023-07-01,2023-09-28,2,Territory realignment,MGR-002
QA-000180,REP-011,2023,Q4-2023,205564.83,ARR,2023-10-01,2023-12-28,1,Initial,MGR-002
QA-000181,REP-011,2024,Q1-2024,138717.33,ARR,2024-01-01,2024-01-31,1,Initial,MGR-003
QA-000182,REP-011,2024,Q1-2024,125123.45,REVENUE,2024-01-01,2024-03-28,2,Performance correction,MGR-001
QA-000183,REP-011,2024,Q2-2024,299626.18,BOOKINGS,2024-04-01,2024-05-30,1,Initial,MGR-003
QA-000184,REP-011,2024,Q2-2024,526108.28,REVENUE,2024-04-01,2024-05-01,2,Performance correction,MGR-003
QA-000185,REP-011,2024,Q2-2024,230319.67,REVENUE,2024-04-01,2024-06-28,3,Territory realignment,MGR-001
QA-000186,REP-011,2024,Q3-2024,120706.61,ARR,2024-07-01,2024-08-10,1,Initial,MGR-002
QA-000187,REP-011,2024,Q3-2024,419509.47,BOOKINGS,2024-07-01,2024-09-28,2,New hire ramp,MGR-002
QA-000188,REP-011,2024,Q4-2024,130678.2,REVENUE,2024-10-01,2024-10-23,1,Initial,MGR-003
QA-000189,REP-011,2024,Q4-2024,801243.65,REVENUE,2024-10-01,2024-10-31,2,Annual planning,MGR-002
QA-000190,REP-011,2024,Q4-2024,206426.29,BOOKINGS,2024-10-01,2024-12-28,3,Annual planning,MGR-002
QA-000191,REP-012,2023,Q1-2023,842281.62,ARR,2023-01-01,2023-03-28,1,Initial,MGR-002
QA-000192,REP-012,2023,Q2-2023,651608.81,ARR,2023-04-01,2023-05-23,1,Initial,MGR-001
QA-000193,REP-012,2023,Q2-2023,469735.65,ARR,2023-04-01,2023-06-28,2,Promotion,MGR-001
QA-000194,REP-012,2023,Q3-2023,484299.89,ARR,2023-07-01,2023-08-01,1,Initial,MGR-003
QA-000195,REP-012,2023,Q3-2023,743462.21,REVENUE,2023-07-01,2023-08-02,2,Mid-year adjustment,MGR-002
QA-000196,REP-012,2023,Q3-2023,448711.59,ARR,2023-07-01,2023-09-28,3,Territory realignment,MGR-001
QA-000197,REP-012,2023,Q4-2023,174943.3,BOOKINGS,2023-10-01,2023-12-28,1,Initial,MGR-002
QA-000198,REP-012,2024,Q1-2024,414990.58,BOOKINGS,2024-01-01,2024-02-18,1,Initial,MGR-001
QA-000199,REP-012,2024,Q1-2024,431335.28,ARR,2024-01-01,2024-03-28,2,Performance correction,MGR-001
QA-000200,REP-012,2024,Q2-2024,142439.53,BOOKINGS,2024-04-01,2024-05-14,1,Initial,MGR-002
QA-000201,REP-012,2024,Q2-2024,111111.84,REVENUE,2024-04-01,2024-04-25,2,New hire ramp,MGR-002
QA-000202,REP-012,2024,Q2-2024,150396.79,ARR,2024-04-01,2024-06-28,3,Promotion,MGR-001
QA-000203,REP-012,2024,Q3-2024,610752.47,BOOKINGS,2024-07-01,2024-08-01,1,Initial,MGR-001
QA-000204,REP-012,2024,Q3-2024,304505.45,BOOKINGS,2024-07-01,2024-08-03,2,Territory realignment,MGR-003
QA-000205,REP-012,2024,Q3-2024,814569.04,BOOKINGS,2024-07-01,2024-09-28,3,Territory realignment,MGR-002
QA-000206,REP-012,2024,Q4-2024,201979.57,ARR,2024-10-01,2024-10-25,1,Initial,MGR-001
QA-000207,REP-012,2024,Q4-2024,708674.95,ARR,2024-10-01,2024-11-04,2,Territory realignment,MGR-003
QA-000208,REP-012,2024,Q4-2024,883058.01,BOOKINGS,2024-10-01,2024-12-28,3,Performance correction,MGR-001
QA-000209,REP-013,2023,Q1-2023,342171.89,REVENUE,2023-01-01,2023-02-06,1,Initial,MGR-001
QA-000210,REP-013,2023,Q1-2023,798151.57,ARR,2023-01-01,2023-03-28,2,New hire ramp,MGR-001
QA-000211,REP-013,2023,Q2-2023,818546.92,REVENUE,2023-04-01,2023-05-23,1,Initial,MGR-002
QA-000212,REP-013,2023,Q2-2023,761883.76,REVENUE,2023-04-01,2023-05-04,2,Territory realignment,MGR-003
QA-000213,REP-013,2023,Q2-2023,309719.23,REVENUE,2023-04-01,2023-06-28,3,Territory realignment,MGR-003
QA-000214,REP-013,2023,Q3-2023,200297.52,ARR,2023-07-01,2023-08-17,1,Initial,MGR-003
QA-000215,REP-013,2023,Q3-2023,744882.9,ARR,2023-07-01,2023-08-17,2,Annual planning,MGR-002
QA-000216,REP-013,2023,Q3-2023,654851.03,ARR,2023-07-01,2023-09-28,3,Annual planning,MGR-001
QA-000217,REP-013,2023,Q4-2023,875067.51,BOOKINGS,2023-10-01,2023-11-08,1,Initial,MGR-002
QA-000218,REP-013,2023,Q4-2023,295890.99,BOOKINGS,2023-10-01,2023-10-25,2,Annual planning,MGR-002
QA-000219,REP-013,2023,Q4-2023,638128.2,ARR,2023-10-01,2023-12-28,3,Annual planning,MGR-003
QA-000220,REP-013,2024,Q1-2024,114764.94,ARR,2024-01-01,2024-02-10,1,Initial,MGR-003
QA-000221,REP-013,2024,Q1-2024,635901.28,REVENUE,2024-01-01,2024-01-29,2,Territory realignment,MGR-003
QA-000222,REP-013,2024,Q1-2024,847016.41,BOOKINGS,2024-01-01,2024-03-28,3,Promotion,MGR-003
QA-000223,REP-013,2024,Q2-2024,204911.94,BOOKINGS,2024-04-01,2024-04-25,1,Initial,MGR-003
QA-000224,REP-013,2024,Q2-2024,118466.91,ARR,2024-04-01,2024-06-28,2,Performance correction,MGR-002
QA-000225,REP-013,2024,Q3-2024,176569.09,ARR,2024-07-01,2024-09-28,1,Initial,MGR-002
QA-000226,REP-013,2024,Q4-2024,274819.87,BOOKINGS,2024-10-01,2024-11-19,1,Initial,MGR-001
QA-000227,REP-013,2024,Q4-2024,290720.94,REVENUE,2024-10-01,2024-11-11,2,Mid-year adjustment,MGR-001
QA-000228,REP-013,2024,Q4-2024,352475.19,BOOKINGS,2024-10-01,2024-12-28,3,Promotion,MGR-002
QA-000229,REP-014,2023,Q1-2023,872736.43,ARR,2023-01-01,2023-03-28,1,Initial,MGR-002
QA-000230,REP-014,2023,Q2-2023,537639.89,ARR,2023-04-01,2023-04-29,1,Initial,MGR-002
QA-000231,REP-014,2023,Q2-2023,303340.21,REVENUE,2023-04-01,2023-06-28,2,Annual planning,MGR-003
QA-000232,REP-014,2023,Q3-2023,723701.55,ARR,2023-07-01,2023-09-28,1,Initial,MGR-001
QA-000233,REP-014,2023,Q4-2023,559992.78,REVENUE,2023-10-01,2023-12-28,1,Initial,MGR-002
