claim_id,employee_id,claim_date,expense_category,vendor_name,currency,amount_local,amount_usd,fx_rate,project_code,cost_center,approval_status,approver_id,receipt_attached,notes,reimbursable
EXP-0000011,EMP-000331,2024-03-10,Client Entertainment,Vendor-148,EUR,14011.5,15272.54,1.09,PROJ-024,CC-0012,APPROVED,MGR-001,N,,N
EXP-0000012,EMP-000525,2025-03-28,Travel-Ground,Vendor-32,AUD,14792.29,9614.99,0.65,PROJ-037,CC-0016,APPROVED,MGR-002,Y,Team lunch,N
EXP-0000013,EMP-001050,2024-11-17,Software License,Vendor-22,EUR,6618.01,7213.63,1.09,PROJ-044,CC-0014,CANCELLED,MGR-002,Y,,Y
EXP-0000014,EMP-001149,2024-01-09,Travel-Ground,Vendor-27,CAD,10499.18,7769.39,0.74,PROJ-019,CC-0013,PENDING,MGR-003,Y,Conference attendance,Y
EXP-0000015,EMP-001371,2024-04-05,Software License,Vendor-120,JPY,13113.64,87.86,0.0067,PROJ-030,CC-0018,CANCELLED,MGR-001,Y,Client visit,Y
EXP-0000016,EMP-000409,2025-02-15,Software License,Vendor-17,JPY,11525.57,77.22,0.0067,PROJ-021,CC-0011,CANCELLED,MGR-001,Y,Conference attendance,N
EXP-0000017,EMP-000319,2025-04-26,Travel-Ground,Vendor-164,SGD,583.85,432.05,0.74,PROJ-014,CC-0011,APPROVED,MGR-003,Y,Conference attendance,N
EXP-0000018,EMP-000438,2024-02-25,Meals,Vendor-6,JPY,14678.63,98.35,0.0067,PROJ-049,CC-0014,REJECTED,MGR-002,N,Conference attendance,Y
EXP-0000019,EMP-000168,2024-11-01,Training,Vendor-108,GBP,4115.84,5227.12,1.27,PROJ-034,CC-0007,REJECTED,MGR-001,Y,Conference attendance,N
EXP-0000020,EMP-000609,2024-06-17,Meals,Vendor-90,INR,14450.85,173.41,0.012,PROJ-027,CC-0016,CANCELLED,MGR-003,N,,N
EXP-0000021,EMP-001169,2025-02-02,Travel-Air,Vendor-144,INR,13689.84,164.28,0.012,PROJ-039,CC-0007,APPROVED,MGR-003,N,Monthly subscription,N
EXP-0000022,EMP-000940,2024-05-31,Training,Vendor-82,USD,2266.09,2266.09,1.0,PROJ-008,CC-0014,REJECTED,MGR-003,Y,Team lunch,Y
EXP-0000023,EMP-001185,2024-04-09,Travel-Air,Vendor-56,SGD,9587.36,7094.65,0.74,PROJ-048,CC-0007,CANCELLED,MGR-003,N,,N
EXP-0000024,EMP-001951,2024-07-14,Telecoms,Vendor-4,CAD,5227.8,3868.57,0.74,PROJ-024,CC-0012,APPROVED,MGR-002,Y,,Y
EXP-0000025,EMP-000934,2025-02-27,Office Supplies,Vendor-91,SGD,9737.19,7205.52,0.74,PROJ-023,CC-0018,CANCELLED,MGR-003,Y,Conference attendance,Y
EXP-0000026,EMP-000363,2024-06-15,Marketing Materials,Vendor-112,SGD,6431.47,4759.29,0.74,PROJ-025,CC-0010,CANCELLED,MGR-003,Y,,Y
EXP-0000027,EMP-000213,2024-04-01,Travel-Air,Vendor-158,GBP,12091.04,15355.62,1.27,PROJ-027,CC-0004,CANCELLED,MGR-003,Y,,N
EXP-0000028,EMP-001745,2025-03-06,Meals,Vendor-58,USD,10018.97,10018.97,1.0,PROJ-050,CC-0015,CANCELLED,MGR-001,N,Team lunch,Y
EXP-0000029,EMP-001872,2025-04-20,Office Supplies,Vendor-166,INR,14514.57,174.17,0.012,PROJ-046,CC-0013,APPROVED,MGR-002,N,,N
EXP-0000030,EMP-000542,2024-11-10,Office Supplies,Vendor-173,AUD,13195.31,8576.95,0.65,PROJ-016,CC-0001,CANCELLED,MGR-001,Y,Conference attendance,Y
EXP-0000031,EMP-001063,2024-11-21,Software License,Vendor-44,INR,12613.14,151.36,0.012,PROJ-037,CC-0014,PENDING,MGR-003,Y,Client visit,N
EXP-0000032,EMP-001184,2025-03-15,Travel-Ground,Vendor-163,USD,12021.96,12021.96,1.0,PROJ-025,CC-0006,CANCELLED,MGR-002,N,Team lunch,Y
EXP-0000033,EMP-000259,2025-05-31,Travel-Hotel,Vendor-162,GBP,10653.27,13529.65,1.27,PROJ-037,CC-0013,REJECTED,MGR-003,N,Monthly subscription,Y
EXP-0000034,EMP-000896,2024-01-12,Telecoms,Vendor-40,GBP,1408.05,1788.22,1.27,PROJ-002,CC-0020,APPROVED,MGR-003,Y,Conference attendance,Y
EXP-0000035,EMP-001593,2025-01-01,Travel-Ground,Vendor-62,SGD,9520.6,7045.24,0.74,PROJ-042,CC-0008,REJECTED,MGR-001,N,,N
EXP-0000036,EMP-000564,2024-03-25,Travel-Ground,Vendor-161,AUD,9892.27,6429.98,0.65,PROJ-002,CC-0019,APPROVED,MGR-001,Y,,Y
EXP-0000037,EMP-000537,2024-07-03,Travel-Hotel,Vendor-20,GBP,2136.11,2712.86,1.27,PROJ-032,CC-0012,PENDING,MGR-002,Y,Team lunch,Y
EXP-0000038,EMP-001965,2024-03-19,Meals,Vendor-176,JPY,1112.9,7.46,0.0067,PROJ-027,CC-0013,REJECTED,MGR-003,Y,Client visit,Y
EXP-0000039,EMP-000366,2024-02-02,Travel-Hotel,Vendor-88,AUD,162.0,105.3,0.65,PROJ-023,CC-0016,APPROVED,MGR-001,Y,Conference attendance,Y
EXP-0000040,EMP-001061,2025-06-08,Travel-Ground,Vendor-56,USD,8043.95,8043.95,1.0,PROJ-024,CC-0004,PENDING,MGR-001,Y,Client visit,Y
EXP-0000041,EMP-001925,2024-05-09,Client Entertainment,Vendor-71,GBP,10918.88,13866.98,1.27,PROJ-031,CC-0007,APPROVED,MGR-002,Y,Team lunch,N
EXP-0000042,EMP-000820,2024-07-16,Client Entertainment,Vendor-45,JPY,7694.72,51.55,0.0067,PROJ-013,CC-0009,CANCELLED,MGR-001,Y,Client visit,Y
EXP-0000043,EMP-000914,2025-03-09,Telecoms,Vendor-192,SGD,6507.74,4815.73,0.74,PROJ-018,CC-0011,APPROVED,MGR-003,Y,Team lunch,Y
EXP-0000044,EMP-001296,2024-03-06,Training,Vendor-43,INR,5615.67,67.39,0.012,PROJ-003,CC-0017,REJECTED,MGR-003,Y,Monthly subscription,N
EXP-0000045,EMP-000369,2024-11-26,Office Supplies,Vendor-48,JPY,458.8,3.07,0.0067,PROJ-023,CC-0008,APPROVED,MGR-001,Y,Monthly subscription,Y
EXP-0000046,EMP-000653,2024-01-12,Software License,Vendor-55,INR,1843.33,22.12,0.012,PROJ-030,CC-0019,REJECTED,MGR-001,Y,Team lunch,N
EXP-0000047,EMP-000211,2024-10-11,Telecoms,Vendor-172,CAD,7913.66,5856.11,0.74,PROJ-005,CC-0019,CANCELLED,MGR-003,Y,Monthly subscription,N
EXP-0000048,EMP-001644,2025-05-20,Training,Vendor-12,CAD,2964.88,2194.01,0.74,PROJ-018,CC-0014,APPROVED,MGR-001,Y,Client visit,N
EXP-0000049,EMP-000044,2024-10-18,Travel-Air,Vendor-165,JPY,3553.96,23.81,0.0067,PROJ-037,CC-0001,CANCELLED,MGR-002,N,Team lunch,Y
EXP-0000050,EMP-000034,2024-03-12,Training,Vendor-25,USD,5067.47,5067.47,1.0,PROJ-027,CC-0010,REJECTED,MGR-002,Y,Team lunch,Y
EXP-0000051,EMP-000097,2025-02-06,Client Entertainment,Vendor-179,INR,7412.34,88.95,0.012,PROJ-030,CC-0016,APPROVED,MGR-002,Y,Conference attendance,Y
EXP-0000052,EMP-000285,2024-04-17,Software License,Vendor-177,USD,12383.59,12383.59,1.0,PROJ-047,CC-0014,PENDING,MGR-001,Y,Client visit,N
EXP-0000053,EMP-001778,2024-02-23,Client Entertainment,Vendor-12,USD,14012.31,14012.31,1.0,PROJ-008,CC-0002,REJECTED,MGR-001,Y,Monthly subscription,N
EXP-0000054,EMP-001895,2024-05-21,Telecoms,Vendor-118,AUD,10482.99,6813.94,0.65,PROJ-008,CC-0005,REJECTED,MGR-001,Y,,N
EXP-0000055,EMP-000493,2025-05-04,Training,Vendor-72,GBP,7831.24,9945.67,1.27,PROJ-021,CC-0016,PENDING,MGR-001,Y,Monthly subscription,Y
EXP-0000056,EMP-001788,2024-09-05,Meals,Vendor-178,INR,8382.14,100.59,0.012,PROJ-005,CC-0003,CANCELLED,MGR-001,N,Conference attendance,Y
EXP-0000057,EMP-000385,2025-05-14,Travel-Hotel,Vendor-88,SGD,12279.49,9086.82,0.74,PROJ-014,CC-0019,REJECTED,MGR-002,Y,,Y
EXP-0000058,EMP-000449,2025-01-07,Office Supplies,Vendor-116,GBP,13712.74,17415.18,1.27,PROJ-040,CC-0017,PENDING,MGR-002,N,Conference attendance,N
EXP-0000059,EMP-000630,2024-04-14,Travel-Ground,Vendor-119,JPY,2471.3,16.56,0.0067,PROJ-007,CC-0004,PENDING,MGR-001,Y,Client visit,N
EXP-0000060,EMP-001088,2025-04-08,Software License,Vendor-68,USD,7148.84,7148.84,1.0,PROJ-008,CC-0018,APPROVED,MGR-002,Y,Client visit,Y
EXP-0000061,EMP-001041,2024-12-07,Travel-Air,Vendor-113,JPY,7537.83,50.5,0.0067,PROJ-018,CC-0012,APPROVED,MGR-001,Y,,N
EXP-0000062,EMP-000825,2024-06-29,Telecoms,Vendor-71,CAD,4417.15,3268.69,0.74,PROJ-034,CC-0020,CANCELLED,MGR-003,Y,Conference attendance,Y
EXP-0000063,EMP-000450,2024-04-27,Travel-Air,Vendor-10,CAD,14384.99,10644.89,0.74,PROJ-037,CC-0009,PENDING,MGR-001,Y,Monthly subscription,Y
EXP-0000064,EMP-000208,2024-08-13,Client Entertainment,Vendor-127,JPY,5884.7,39.43,0.0067,PROJ-014,CC-0006,PENDING,MGR-002,Y,,N
EXP-0000065,EMP-001031,2025-05-03,Client Entertainment,Vendor-177,USD,1422.7,1422.7,1.0,PROJ-016,CC-0006,REJECTED,MGR-003,Y,Client visit,Y
EXP-0000066,EMP-000291,2024-01-14,Training,Vendor-110,INR,13499.04,161.99,0.012,PROJ-022,CC-0001,PENDING,MGR-002,Y,Client visit,Y
EXP-0000067,EMP-001195,2024-01-02,Training,Vendor-64,INR,14543.43,174.52,0.012,PROJ-031,CC-0004,APPROVED,MGR-001,Y,Client visit,Y
EXP-0000068,EMP-000205,2024-11-07,Software License,Vendor-116,EUR,11631.1,12677.9,1.09,PROJ-032,CC-0012,REJECTED,MGR-003,Y,Monthly subscription,N
EXP-0000069,EMP-000723,2024-11-04,Software License,Vendor-133,SGD,213.28,157.83,0.74,PROJ-050,CC-0020,CANCELLED,MGR-001,Y,,Y
EXP-0000070,EMP-001754,2024-08-13,Travel-Ground,Vendor-92,EUR,14679.78,16000.96,1.09,PROJ-032,CC-0001,PENDING,MGR-003,Y,Monthly subscription,Y
EXP-0000071,EMP-001956,2025-01-21,Travel-Hotel,Vendor-71,GBP,2915.69,3702.93,1.27,PROJ-041,CC-0018,CANCELLED,MGR-003,N,Monthly subscription,N
EXP-0000072,EMP-000855,2024-10-09,Client Entertainment,Vendor-49,INR,5871.48,70.46,0.012,PROJ-003,CC-0019,REJECTED,MGR-003,Y,Team lunch,N
EXP-0000073,EMP-001986,2024-01-09,Training,Vendor-176,INR,4333.24,52.0,0.012,PROJ-010,CC-0015,PENDING,MGR-003,Y,,Y
EXP-0000074,EMP-000133,2024-10-28,Travel-Air,Vendor-117,AUD,7307.5,4749.88,0.65,PROJ-003,CC-0007,REJECTED,MGR-003,Y,Conference attendance,N
EXP-0000075,EMP-000722,2024-01-01,Travel-Air,Vendor-65,AUD,86.3,56.09,0.65,PROJ-009,CC-0012,REJECTED,MGR-003,N,Conference attendance,N
EXP-0000076,EMP-000403,2025-03-18,Telecoms,Vendor-21,EUR,14938.75,16283.24,1.09,PROJ-019,CC-0008,APPROVED,MGR-002,Y,Client visit,N
EXP-0000077,EMP-001852,2024-04-10,Client Entertainment,Vendor-78,JPY,5992.71,40.15,0.0067,PROJ-039,CC-0010,PENDING,MGR-003,Y,,N
EXP-0000078,EMP-000409,2024-09-13,Travel-Ground,Vendor-107,EUR,10252.98,11175.75,1.09,PROJ-036,CC-0007,REJECTED,MGR-002,Y,Monthly subscription,N
EXP-0000079,EMP-001794,2025-03-23,Travel-Hotel,Vendor-36,EUR,5645.73,6153.85,1.09,PROJ-034,CC-0015,REJECTED,MGR-003,Y,Team lunch,N
EXP-0000080,EMP-001970,2025-02-24,Training,Vendor-8,JPY,7003.62,46.92,0.0067,PROJ-036,CC-0001,CANCELLED,MGR-001,N,,N
EXP-0000081,EMP-000765,2024-05-10,Telecoms,Vendor-140,CAD,8709.03,6444.68,0.74,PROJ-037,CC-0010,APPROVED,MGR-002,N,Team lunch,Y
EXP-0000082,EMP-001792,2025-06-14,Training,Vendor-14,SGD,12114.14,8964.46,0.74,PROJ-006,CC-0002,REJECTED,MGR-003,Y,Monthly subscription,Y
EXP-0000083,EMP-001415,2024-12-05,Travel-Air,Vendor-32,AUD,8486.0,5515.9,0.65,PROJ-048,CC-0019,APPROVED,MGR-003,N,,Y
EXP-0000084,EMP-001834,2024-06-07,Client Entertainment,Vendor-161,SGD,2054.68,1520.46,0.74,PROJ-020,CC-0001,CANCELLED,MGR-003,N,Conference attendance,Y
EXP-0000085,EMP-001803,2024-05-03,Marketing Materials,Vendor-25,USD,2303.8,2303.8,1.0,PROJ-016,CC-0007,APPROVED,MGR-002,Y,,N
EXP-0000086,EMP-000250,2024-11-03,Office Supplies,Vendor-124,JPY,844.24,5.66,0.0067,PROJ-012,CC-0008,REJECTED,MGR-003,Y,,Y
EXP-0000087,EMP-000045,2024-07-08,Travel-Ground,Vendor-191,JPY,2202.23,14.75,0.0067,PROJ-043,CC-0008,PENDING,MGR-003,N,Team lunch,N
EXP-0000088,EMP-000205,2025-05-19,Software License,Vendor-171,AUD,4348.84,2826.75,0.65,PROJ-018,CC-0013,CANCELLED,MGR-003,Y,Team lunch,N
EXP-0000089,EMP-000581,2025-04-13,Travel-Hotel,Vendor-145,JPY,2231.02,14.95,0.0067,PROJ-025,CC-0001,REJECTED,MGR-001,Y,Conference attendance,N
EXP-0000090,EMP-001481,2025-04-14,Client Entertainment,Vendor-3,EUR,7023.93,7656.08,1.09,PROJ-011,CC-0012,PENDING,MGR-002,Y,,Y
EXP-0000091,EMP-000721,2024-12-13,Training,Vendor-184,EUR,9842.23,10728.03,1.09,PROJ-009,CC-0009,REJECTED,MGR-002,Y,,N
EXP-0000092,EMP-001241,2024-07-03,Telecoms,Vendor-182,JPY,14438.7,96.74,0.0067,PROJ-033,CC-0017,REJECTED,MGR-001,Y,,N
EXP-0000093,EMP-000061,2024-06-11,Meals,Vendor-25,JPY,1022.87,6.85,0.0067,PROJ-043,CC-0004,CANCELLED,MGR-003,Y,Monthly subscription,Y
EXP-0000094,EMP-001804,2024-06-27,Office Supplies,Vendor-194,CAD,1590.42,1176.91,0.74,PROJ-027,CC-0003,APPROVED,MGR-003,Y,Conference attendance,Y
EXP-0000095,EMP-000767,2024-01-31,Travel-Ground,Vendor-83,GBP,6628.51,8418.21,1.27,PROJ-007,CC-0015,CANCELLED,MGR-001,N,Client visit,N
EXP-0000096,EMP-000586,2024-08-18,Meals,Vendor-190,SGD,6568.35,4860.58,0.74,PROJ-011,CC-0014,PENDING,MGR-001,Y,,Y
EXP-0000097,EMP-000288,2024-01-06,Software License,Vendor-199,CAD,508.26,376.11,0.74,PROJ-027,CC-0019,APPROVED,MGR-002,N,,N
EXP-0000098,EMP-001169,2025-04-30,Marketing Materials,Vendor-91,CAD,12487.72,9240.91,0.74,PROJ-023,CC-0020,PENDING,MGR-001,Y,Team lunch,N
EXP-0000099,EMP-000261,2025-06-13,Client Entertainment,Vendor-26,GBP,8541.59,10847.82,1.27,PROJ-008,CC-0016,PENDING,MGR-001,Y,Conference attendance,Y
EXP-0000100,EMP-000515,2025-02-03,Software License,Vendor-18,AUD,13834.88,8992.67,0.65,PROJ-011,CC-0010,APPROVED,MGR-003,N,,N
EXP-0000101,EMP-001119,2024-04-23,Telecoms,Vendor-121,JPY,9283.49,62.2,0.0067,PROJ-017,CC-0001,APPROVED,MGR-002,Y,Monthly subscription,Y
EXP-0000102,EMP-000122,2024-05-22,Meals,Vendor-141,INR,13321.54,159.86,0.012,PROJ-047,CC-0011,APPROVED,MGR-001,Y,Conference attendance,Y
EXP-0000103,EMP-001946,2025-03-02,Telecoms,Vendor-190,INR,14716.03,176.59,0.012,PROJ-040,CC-0003,CANCELLED,MGR-001,Y,,Y
EXP-0000104,EMP-001040,2024-08-18,Software License,Vendor-111,GBP,543.65,690.44,1.27,PROJ-031,CC-0010,PENDING,MGR-001,Y,Conference attendance,Y
EXP-0000105,EMP-001512,2024-01-19,Marketing Materials,Vendor-124,JPY,10232.3,68.56,0.0067,PROJ-004,CC-0013,CANCELLED,MGR-003,N,Team lunch,N
EXP-0000106,EMP-000242,2025-01-11,Software License,Vendor-50,EUR,1742.59,1899.42,1.09,PROJ-022,CC-0014,APPROVED,MGR-001,N,Conference attendance,Y
EXP-0000107,EMP-001542,2024-02-16,Travel-Air,Vendor-185,CAD,6201.85,4589.37,0.74,PROJ-016,CC-0002,APPROVED,MGR-001,N,Team lunch,Y
EXP-0000108,EMP-000717,2024-09-07,Client Entertainment,Vendor-34,AUD,665.35,432.48,0.65,PROJ-039,CC-0013,CANCELLED,MGR-003,Y,,Y
EXP-0000109,EMP-001114,2024-07-29,Training,Vendor-181,GBP,3760.48,4775.81,1.27,PROJ-048,CC-0012,PENDING,MGR-002,Y,Monthly subscription,N
EXP-0000110,EMP-000548,2024-11-22,Marketing Materials,Vendor-129,CAD,7907.39,5851.47,0.74,PROJ-007,CC-0002,REJECTED,MGR-002,Y,Monthly subscription,Y
EXP-0000111,EMP-001724,2025-06-17,Meals,Vendor-79,CAD,13681.62,10124.4,0.74,PROJ-048,CC-0018,PENDING,MGR-001,Y,,Y
EXP-0000112,EMP-001431,2025-03-26,Training,Vendor-30,USD,14668.87,14668.87,1.0,PROJ-002,CC-0016,APPROVED,MGR-002,Y,,N
EXP-0000113,EMP-000174,2024-03-02,Client Entertainment,Vendor-157,AUD,12409.41,8066.12,0.65,PROJ-025,CC-0016,APPROVED,MGR-002,Y,Team lunch,Y
EXP-0000114,EMP-000378,2025-03-17,Marketing Materials,Vendor-14,CAD,3093.89,2289.48,0.74,PROJ-043,CC-0010,APPROVED,MGR-003,Y,Conference attendance,N
EXP-0000115,EMP-001211,2024-08-09,Travel-Air,Vendor-88,AUD,12155.55,7901.11,0.65,PROJ-047,CC-0020,CANCELLED,MGR-002,Y,Conference attendance,N
EXP-0000116,EMP-001921,2025-04-19,Office Supplies,Vendor-147,AUD,12879.13,8371.43,0.65,PROJ-047,CC-0019,REJECTED,MGR-001,Y,Team lunch,Y
EXP-0000117,EMP-000575,2024-10-07,Travel-Hotel,Vendor-64,EUR,13616.61,14842.1,1.09,PROJ-050,CC-0018,REJECTED,MGR-002,Y,Conference attendance,N
EXP-0000118,EMP-000514,2024-01-13,Travel-Hotel,Vendor-79,INR,4038.52,48.46,0.012,PROJ-037,CC-0011,REJECTED,MGR-001,Y,Team lunch,Y
EXP-0000119,EMP-000076,2025-01-02,Training,Vendor-164,SGD,142.97,105.8,0.74,PROJ-036,CC-0007,CANCELLED,MGR-001,Y,Monthly subscription,N
EXP-0000120,EMP-000529,2024-10-09,Client Entertainment,Vendor-127,GBP,6612.19,8397.48,1.27,PROJ-009,CC-0008,PENDING,MGR-001,Y,Client visit,Y
EXP-0000121,EMP-001038,2025-03-26,Telecoms,Vendor-82,USD,2771.99,2771.99,1.0,PROJ-003,CC-0018,PENDING,MGR-001,Y,Monthly subscription,Y
EXP-0000122,EMP-000092,2024-08-28,Software License,Vendor-28,INR,8111.22,97.33,0.012,PROJ-005,CC-0017,CANCELLED,MGR-001,Y,Client visit,Y
EXP-0000123,EMP-001699,2025-03-01,Travel-Hotel,Vendor-165,INR,8559.78,102.72,0.012,PROJ-028,CC-0010,PENDING,MGR-001,Y,,N
EXP-0000124,EMP-001838,2025-01-18,Training,Vendor-76,INR,14626.73,175.52,0.012,PROJ-040,CC-0001,PENDING,MGR-002,Y,Monthly subscription,Y
EXP-0000125,EMP-000434,2024-11-16,Marketing Materials,Vendor-184,USD,1602.42,1602.42,1.0,PROJ-050,CC-0017,REJECTED,MGR-001,Y,,Y
EXP-0000126,EMP-001330,2024-03-21,Travel-Hotel,Vendor-58,EUR,5722.53,6237.56,1.09,PROJ-037,CC-0017,CANCELLED,MGR-003,Y,,Y
EXP-0000127,EMP-001066,2025-03-27,Software License,Vendor-69,SGD,9891.37,7319.61,0.74,PROJ-013,CC-0019,REJECTED,MGR-001,Y,Client visit,N
EXP-0000128,EMP-001533,2024-04-28,Meals,Vendor-114,CAD,6842.76,5063.64,0.74,PROJ-047,CC-0014,REJECTED,MGR-001,Y,,Y
EXP-0000129,EMP-001240,2024-08-23,Training,Vendor-108,INR,9803.42,117.64,0.012,PROJ-015,CC-0019,PENDING,MGR-003,N,Team lunch,Y
EXP-0000130,EMP-000700,2024-11-17,Travel-Hotel,Vendor-21,AUD,11939.88,7760.92,0.65,PROJ-027,CC-0014,PENDING,MGR-003,Y,,Y
EXP-0000131,EMP-000032,2024-06-19,Travel-Hotel,Vendor-108,EUR,13147.32,14330.58,1.09,PROJ-017,CC-0018,CANCELLED,MGR-003,Y,Client visit,Y
EXP-0000132,EMP-000342,2024-03-15,Travel-Ground,Vendor-132,JPY,368.73,2.47,0.0067,PROJ-034,CC-0013,CANCELLED,MGR-002,N,Team lunch,Y
EXP-0000133,EMP-001838,2024-12-10,Telecoms,Vendor-156,AUD,1794.25,1166.26,0.65,PROJ-040,CC-0004,APPROVED,MGR-001,Y,Team lunch,N
EXP-0000134,EMP-000893,2024-10-23,Training,Vendor-180,SGD,11113.06,8223.66,0.74,PROJ-009,CC-0006,APPROVED,MGR-001,Y,,N
EXP-0000135,EMP-000899,2024-06-29,Marketing Materials,Vendor-185,SGD,5696.82,4215.65,0.74,PROJ-038,CC-0009,APPROVED,MGR-001,Y,Team lunch,N
EXP-0000136,EMP-001838,2025-06-21,Telecoms,Vendor-131,USD,8466.33,8466.33,1.0,PROJ-028,CC-0010,REJECTED,MGR-002,Y,Client visit,Y
EXP-0000137,EMP-001505,2024-08-03,Office Supplies,Vendor-133,USD,12211.67,12211.67,1.0,PROJ-018,CC-0019,REJECTED,MGR-001,Y,Monthly subscription,Y
EXP-0000138,EMP-000997,2025-03-25,Meals,Vendor-44,GBP,4324.77,5492.46,1.27,PROJ-019,CC-0009,APPROVED,MGR-001,Y,Client visit,Y
EXP-0000139,EMP-001042,2024-06-21,Travel-Air,Vendor-154,CAD,8286.93,6132.33,0.74,PROJ-003,CC-0018,PENDING,MGR-001,Y,Conference attendance,N
EXP-0000140,EMP-001942,2025-03-12,Training,Vendor-134,CAD,4234.74,3133.71,0.74,PROJ-009,CC-0015,REJECTED,MGR-001,Y,Team lunch,N
EXP-0000141,EMP-001771,2024-05-20,Client Entertainment,Vendor-188,SGD,3953.22,2925.38,0.74,PROJ-043,CC-0004,REJECTED,MGR-001,N,,Y
EXP-0000142,EMP-000687,2024-10-09,Training,Vendor-162,INR,2359.34,28.31,0.012,PROJ-048,CC-0017,APPROVED,MGR-003,Y,Conference attendance,N
EXP-0000143,EMP-001627,2025-06-17,Software License,Vendor-49,GBP,13986.2,17762.47,1.27,PROJ-036,CC-0002,APPROVED,MGR-001,N,,N
EXP-0000144,EMP-000544,2025-04-26,Travel-Ground,Vendor-125,CAD,10103.48,7476.58,0.74,PROJ-012,CC-0016,REJECTED,MGR-001,N,,Y
EXP-0000145,EMP-000138,2025-05-17,Marketing Materials,Vendor-157,CAD,57.93,42.87,0.74,PROJ-014,CC-0006,APPROVED,MGR-002,Y,,N
EXP-0000146,EMP-000992,2024-07-03,Client Entertainment,Vendor-60,CAD,9569.34,7081.31,0.74,PROJ-019,CC-0016,CANCELLED,MGR-003,Y,,N
EXP-0000147,EMP-000449,2024-04-25,Client Entertainment,Vendor-108,SGD,4438.3,3284.34,0.74,PROJ-029,CC-0011,PENDING,MGR-003,Y,Conference attendance,Y
EXP-0000148,EMP-001353,2024-04-26,Software License,Vendor-179,SGD,14345.17,10615.43,0.74,PROJ-026,CC-0005,CANCELLED,MGR-002,Y,,Y
EXP-0000149,EMP-001040,2024-08-08,Office Supplies,Vendor-16,USD,4371.04,4371.04,1.0,PROJ-036,CC-0011,REJECTED,MGR-003,Y,Team lunch,N
EXP-0000150,EMP-000534,2024-02-25,Client Entertainment,Vendor-125,SGD,6383.74,4723.97,0.74,PROJ-047,CC-0008,REJECTED,MGR-003,Y,Monthly subscription,N
EXP-0000151,EMP-001794,2024-06-19,Marketing Materials,Vendor-53,JPY,3327.44,22.29,0.0067,PROJ-050,CC-0004,REJECTED,MGR-001,Y,,Y
EXP-0000152,EMP-001444,2024-12-07,Software License,Vendor-197,JPY,1362.89,9.13,0.0067,PROJ-050,CC-0018,APPROVED,MGR-003,Y,,Y
EXP-0000153,EMP-000322,2025-02-09,Meals,Vendor-75,INR,8036.74,96.44,0.012,PROJ-011,CC-0012,REJECTED,MGR-002,N,,Y
EXP-0000154,EMP-000042,2025-06-23,Travel-Hotel,Vendor-129,USD,550.76,550.76,1.0,PROJ-026,CC-0016,APPROVED,MGR-001,Y,Monthly subscription,Y
EXP-0000155,EMP-001410,2024-09-10,Travel-Air,Vendor-70,CAD,9477.02,7012.99,0.74,PROJ-048,CC-0004,CANCELLED,MGR-003,Y,Client visit,N
EXP-0000156,EMP-001034,2025-03-01,Travel-Air,Vendor-4,GBP,1157.14,1469.57,1.27,PROJ-048,CC-0018,PENDING,MGR-001,Y,Client visit,N
EXP-0000157,EMP-001523,2024-01-24,Client Entertainment,Vendor-71,INR,6383.04,76.6,0.012,PROJ-030,CC-0007,APPROVED,MGR-002,Y,Team lunch,N
