ticket_id,account_id,rep_id,opened_date,closed_date,priority,category,subject,description,resolution_notes,csat_score,resolution_hours,escalated,product_line
TKT-0000017,ACC-00062,REP-008,2025-04-05,2025-04-22,P2,Bug,Issue with Performance - ref 17,Dashboard loading extremely slow after latest update. Users unable to access reports.,Identified bottleneck in reporting query. Optimized with clustering key.,5,463,N,Analytics Module
TKT-0000018,ACC-00031,REP-008,2024-01-04,2024-01-07,P1,Bug,Issue with Training - ref 18,API rate limits causing production failures during peak business hours.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,5,647,N,Data Integration Suite
TKT-0000019,ACC-00277,REP-005,2024-12-08,2024-12-24,P4,Feature Request,Issue with Training - ref 19,Automated reports not sending to correct distribution list after migration.,RLS policy configured correctly. Documentation updated for future reference.,2,220,Y,Platform License
TKT-0000020,ACC-00182,REP-014,2024-12-03,,P4,Billing,Issue with Training - ref 20,Dashboard loading extremely slow after latest update. Users unable to access reports.,,,,Y,Platform License
TKT-0000021,ACC-00410,REP-004,2024-07-25,2024-08-18,P2,Feature Request,Issue with Feature Request - ref 21,Machine learning model predictions diverging significantly from actuals.,Distribution list updated and tested. All reports sending correctly.,2,348,N,Analytics Module
TKT-0000022,ACC-00448,REP-003,2024-05-22,2024-06-06,P4,Training,Issue with Training - ref 22,Machine learning model predictions diverging significantly from actuals.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,1,256,Y,Platform License
TKT-0000023,ACC-00086,REP-014,2025-04-19,2025-05-14,P4,Billing,Issue with Feature Request - ref 23,Need help configuring row-level security for multi-tenant environment.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",2,243,N,Platform License
TKT-0000024,ACC-00147,REP-014,2024-07-18,2024-07-27,P4,Feature Request,Issue with Feature Request - ref 24,Requesting bulk user provisioning feature for enterprise onboarding.,Updated OAuth token rotation policy. Connection stable for 72+ hours.,1,466,Y,Data Integration Suite
TKT-0000025,ACC-00300,REP-016,2024-01-30,,P2,Bug,Issue with Access - ref 25,Data pipeline failing silently. No error logs visible in monitoring console.,,,,N,Platform License
TKT-0000026,ACC-00442,REP-008,2024-10-31,2024-11-03,P4,Bug,Issue with Access - ref 26,Cannot connect Snowflake integration. Authentication keeps timing out.,Identified bottleneck in reporting query. Optimized with clustering key.,5,692,Y,Platform License
TKT-0000027,ACC-00290,REP-017,2024-08-02,2024-08-24,P3,Performance,Issue with Feature Request - ref 27,API rate limits causing production failures during peak business hours.,Updated OAuth token rotation policy. Connection stable for 72+ hours.,3,598,N,Analytics Module
TKT-0000028,ACC-00235,REP-011,2024-12-09,2024-12-30,P1,Bug,Issue with Billing - ref 28,System performance degraded significantly during end-of-month close process.,Identified bottleneck in reporting query. Optimized with clustering key.,1,308,Y,Analytics Module
TKT-0000029,ACC-00478,REP-012,2024-09-16,2024-09-25,P1,Feature Request,Issue with Performance - ref 29,Requesting bulk user provisioning feature for enterprise onboarding.,Billing team confirmed rate discrepancy. Credit issued to account.,4,136,N,Platform License
TKT-0000030,ACC-00284,REP-010,2024-12-07,,P1,Feature Request,Issue with Performance - ref 30,Data pipeline failing silently. No error logs visible in monitoring console.,,,,Y,Analytics Module
TKT-0000031,ACC-00108,REP-011,2024-05-19,2024-05-29,P2,Integration,Issue with Integration - ref 31,Requesting bulk user provisioning feature for enterprise onboarding.,Model retrained with updated feature set. Accuracy improved to 94%.,4,620,N,Platform License
TKT-0000032,ACC-00425,REP-009,2024-02-17,2024-03-09,P1,Bug,Issue with Performance - ref 32,Invoice amount does not match contracted rate. Please review attachment.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,2,434,N,Security Package
TKT-0000033,ACC-00039,REP-005,2024-10-14,2024-10-15,P1,Training,Issue with Performance - ref 33,System performance degraded significantly during end-of-month close process.,Model retrained with updated feature set. Accuracy improved to 94%.,2,115,N,Analytics Module
TKT-0000034,ACC-00461,REP-002,2024-01-22,2024-02-01,P3,Feature Request,Issue with Integration - ref 34,Cannot connect Snowflake integration. Authentication keeps timing out.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,3,374,N,Analytics Module
TKT-0000035,ACC-00122,REP-006,2025-04-18,,P2,Billing,Issue with Bug - ref 35,Invoice amount does not match contracted rate. Please review attachment.,,,,N,Security Package
TKT-0000036,ACC-00137,REP-006,2025-02-14,2025-03-08,P1,Billing,Issue with Training - ref 36,Dashboard loading extremely slow after latest update. Users unable to access reports.,Distribution list updated and tested. All reports sending correctly.,2,255,N,Security Package
TKT-0000037,ACC-00115,REP-001,2024-06-28,2024-07-08,P2,Billing,Issue with Performance - ref 37,Requesting bulk user provisioning feature for enterprise onboarding.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,3,234,N,Security Package
TKT-0000038,ACC-00170,REP-001,2024-12-13,2025-01-09,P1,Performance,Issue with Feature Request - ref 38,System performance degraded significantly during end-of-month close process.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,1,550,Y,Security Package
TKT-0000039,ACC-00224,REP-017,2024-06-25,2024-07-19,P1,Billing,Issue with Access - ref 39,Cannot connect Snowflake integration. Authentication keeps timing out.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,1,322,N,Platform License
TKT-0000040,ACC-00413,REP-018,2024-09-23,,P2,Performance,Issue with Billing - ref 40,Data pipeline failing silently. No error logs visible in monitoring console.,,,,N,Data Integration Suite
TKT-0000041,ACC-00369,REP-010,2024-12-05,2025-01-02,P3,Integration,Issue with Billing - ref 41,API rate limits causing production failures during peak business hours.,RLS policy configured correctly. Documentation updated for future reference.,3,128,N,Analytics Module
TKT-0000042,ACC-00347,REP-006,2024-08-03,2024-08-25,P3,Billing,Issue with Access - ref 42,Dashboard loading extremely slow after latest update. Users unable to access reports.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,3,389,N,Security Package
TKT-0000043,ACC-00336,REP-011,2025-02-06,2025-02-25,P4,Billing,Issue with Billing - ref 43,Cannot connect Snowflake integration. Authentication keeps timing out.,Model retrained with updated feature set. Accuracy improved to 94%.,4,622,N,Platform License
TKT-0000044,ACC-00325,REP-011,2024-05-25,2024-06-11,P1,Training,Issue with Training - ref 44,Cannot connect Snowflake integration. Authentication keeps timing out.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,2,680,N,Analytics Module
TKT-0000045,ACC-00126,REP-016,2024-01-13,,P1,Billing,Issue with Billing - ref 45,System performance degraded significantly during end-of-month close process.,,,,N,Security Package
TKT-0000046,ACC-00076,REP-001,2024-09-10,2024-09-23,P1,Training,Issue with Billing - ref 46,Cannot connect Snowflake integration. Authentication keeps timing out.,Billing team confirmed rate discrepancy. Credit issued to account.,5,250,N,Platform License
TKT-0000047,ACC-00234,REP-005,2024-10-12,2024-10-20,P4,Integration,Issue with Access - ref 47,Machine learning model predictions diverging significantly from actuals.,Identified bottleneck in reporting query. Optimized with clustering key.,3,125,N,Security Package
TKT-0000048,ACC-00229,REP-006,2025-03-01,2025-03-31,P4,Billing,Issue with Performance - ref 48,Cannot connect Snowflake integration. Authentication keeps timing out.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,5,562,N,Analytics Module
TKT-0000049,ACC-00366,REP-010,2024-05-20,2024-06-04,P2,Performance,Issue with Performance - ref 49,API rate limits causing production failures during peak business hours.,Model retrained with updated feature set. Accuracy improved to 94%.,1,80,N,Analytics Module
TKT-0000050,ACC-00356,REP-005,2024-04-28,,P2,Bug,Issue with Billing - ref 50,Need help configuring row-level security for multi-tenant environment.,,,,N,Security Package
TKT-0000051,ACC-00427,REP-014,2024-07-31,2024-08-02,P4,Training,Issue with Access - ref 51,Dashboard loading extremely slow after latest update. Users unable to access reports.,Identified bottleneck in reporting query. Optimized with clustering key.,4,212,N,Platform License
TKT-0000052,ACC-00386,REP-013,2025-04-27,2025-05-09,P4,Access,Issue with Integration - ref 52,Machine learning model predictions diverging significantly from actuals.,Identified bottleneck in reporting query. Optimized with clustering key.,2,306,N,Analytics Module
TKT-0000053,ACC-00015,REP-013,2024-05-19,2024-06-02,P3,Integration,Issue with Integration - ref 53,Need help configuring row-level security for multi-tenant environment.,Billing team confirmed rate discrepancy. Credit issued to account.,4,498,N,Platform License
TKT-0000054,ACC-00289,REP-001,2025-04-09,2025-04-22,P1,Integration,Issue with Billing - ref 54,Invoice amount does not match contracted rate. Please review attachment.,Distribution list updated and tested. All reports sending correctly.,2,607,Y,Data Integration Suite
TKT-0000055,ACC-00109,REP-015,2024-07-13,,P3,Performance,Issue with Training - ref 55,Need help configuring row-level security for multi-tenant environment.,,,,N,Security Package
TKT-0000056,ACC-00241,REP-001,2024-05-09,2024-06-05,P1,Performance,Issue with Feature Request - ref 56,Data pipeline failing silently. No error logs visible in monitoring console.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",1,84,N,Analytics Module
TKT-0000057,ACC-00079,REP-008,2025-03-05,2025-03-06,P2,Billing,Issue with Integration - ref 57,Data pipeline failing silently. No error logs visible in monitoring console.,Identified bottleneck in reporting query. Optimized with clustering key.,2,637,N,Data Integration Suite
TKT-0000058,ACC-00311,REP-004,2025-01-27,2025-02-08,P2,Performance,Issue with Bug - ref 58,System performance degraded significantly during end-of-month close process.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",3,172,N,Security Package
TKT-0000059,ACC-00039,REP-008,2025-04-27,2025-05-20,P1,Integration,Issue with Training - ref 59,Requesting bulk user provisioning feature for enterprise onboarding.,Identified bottleneck in reporting query. Optimized with clustering key.,1,204,Y,Data Integration Suite
TKT-0000060,ACC-00339,REP-012,2024-09-29,,P1,Access,Issue with Integration - ref 60,API rate limits causing production failures during peak business hours.,,,,Y,Security Package
TKT-0000061,ACC-00222,REP-012,2025-02-25,2025-03-13,P4,Integration,Issue with Feature Request - ref 61,Need help configuring row-level security for multi-tenant environment.,Billing team confirmed rate discrepancy. Credit issued to account.,5,109,N,Security Package
TKT-0000062,ACC-00138,REP-011,2024-08-26,2024-09-09,P2,Training,Issue with Bug - ref 62,Requesting bulk user provisioning feature for enterprise onboarding.,Distribution list updated and tested. All reports sending correctly.,2,607,N,Security Package
TKT-0000063,ACC-00436,REP-011,2024-06-21,2024-06-22,P2,Billing,Issue with Feature Request - ref 63,API rate limits causing production failures during peak business hours.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,3,507,N,Data Integration Suite
TKT-0000064,ACC-00486,REP-007,2024-10-11,2024-10-12,P1,Feature Request,Issue with Integration - ref 64,Need help configuring row-level security for multi-tenant environment.,Distribution list updated and tested. All reports sending correctly.,5,530,N,Security Package
TKT-0000065,ACC-00252,REP-015,2024-11-26,,P1,Bug,Issue with Performance - ref 65,Cannot connect Snowflake integration. Authentication keeps timing out.,,,,N,Analytics Module
TKT-0000066,ACC-00189,REP-016,2024-06-05,2024-06-27,P3,Billing,Issue with Integration - ref 66,Machine learning model predictions diverging significantly from actuals.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",3,596,N,Data Integration Suite
TKT-0000067,ACC-00062,REP-007,2024-06-05,2024-06-14,P3,Bug,Issue with Integration - ref 67,Machine learning model predictions diverging significantly from actuals.,Billing team confirmed rate discrepancy. Credit issued to account.,2,237,N,Security Package
TKT-0000068,ACC-00390,REP-017,2024-05-21,2024-06-14,P3,Bug,Issue with Training - ref 68,Cannot connect Snowflake integration. Authentication keeps timing out.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,2,604,N,Analytics Module
TKT-0000069,ACC-00065,REP-009,2024-06-03,2024-06-04,P1,Bug,Issue with Access - ref 69,Requesting bulk user provisioning feature for enterprise onboarding.,Billing team confirmed rate discrepancy. Credit issued to account.,4,547,Y,Platform License
TKT-0000070,ACC-00241,REP-016,2024-10-20,,P4,Performance,Issue with Feature Request - ref 70,Dashboard loading extremely slow after latest update. Users unable to access reports.,,,,N,Security Package
TKT-0000071,ACC-00206,REP-016,2024-02-28,2024-03-26,P1,Access,Issue with Integration - ref 71,Dashboard loading extremely slow after latest update. Users unable to access reports.,Billing team confirmed rate discrepancy. Credit issued to account.,2,67,N,Platform License
TKT-0000072,ACC-00392,REP-014,2024-05-07,2024-05-11,P2,Training,Issue with Access - ref 72,Need help configuring row-level security for multi-tenant environment.,Distribution list updated and tested. All reports sending correctly.,4,572,N,Security Package
TKT-0000073,ACC-00031,REP-004,2024-06-05,2024-06-24,P2,Integration,Issue with Feature Request - ref 73,Requesting bulk user provisioning feature for enterprise onboarding.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,2,636,N,Analytics Module
TKT-0000074,ACC-00002,REP-014,2024-10-09,2024-10-12,P4,Integration,Issue with Access - ref 74,Automated reports not sending to correct distribution list after migration.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,1,161,N,Data Integration Suite
TKT-0000075,ACC-00360,REP-015,2024-12-27,,P1,Integration,Issue with Feature Request - ref 75,Requesting bulk user provisioning feature for enterprise onboarding.,,,,N,Security Package
TKT-0000076,ACC-00332,REP-005,2024-02-28,2024-03-17,P3,Training,Issue with Feature Request - ref 76,Data pipeline failing silently. No error logs visible in monitoring console.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",2,231,N,Data Integration Suite
TKT-0000077,ACC-00353,REP-010,2024-08-12,2024-08-16,P4,Performance,Issue with Access - ref 77,Machine learning model predictions diverging significantly from actuals.,Distribution list updated and tested. All reports sending correctly.,4,480,Y,Platform License
TKT-0000078,ACC-00310,REP-009,2025-03-31,2025-04-14,P1,Bug,Issue with Feature Request - ref 78,System performance degraded significantly during end-of-month close process.,Identified bottleneck in reporting query. Optimized with clustering key.,1,331,N,Platform License
TKT-0000079,ACC-00241,REP-017,2025-01-25,2025-02-19,P4,Performance,Issue with Feature Request - ref 79,System performance degraded significantly during end-of-month close process.,RLS policy configured correctly. Documentation updated for future reference.,4,180,Y,Security Package
TKT-0000080,ACC-00171,REP-011,2024-06-27,,P1,Training,Issue with Feature Request - ref 80,API rate limits causing production failures during peak business hours.,,,,N,Security Package
TKT-0000081,ACC-00417,REP-018,2024-05-27,2024-06-18,P1,Billing,Issue with Bug - ref 81,API rate limits causing production failures during peak business hours.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,3,411,Y,Security Package
TKT-0000082,ACC-00337,REP-018,2025-03-18,2025-04-04,P4,Billing,Issue with Bug - ref 82,Cannot connect Snowflake integration. Authentication keeps timing out.,Model retrained with updated feature set. Accuracy improved to 94%.,3,2,N,Security Package
TKT-0000083,ACC-00137,REP-018,2025-01-24,2025-01-26,P2,Performance,Issue with Billing - ref 83,Automated reports not sending to correct distribution list after migration.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,1,209,N,Analytics Module
TKT-0000084,ACC-00283,REP-014,2024-06-08,2024-06-26,P1,Feature Request,Issue with Training - ref 84,Data pipeline failing silently. No error logs visible in monitoring console.,Distribution list updated and tested. All reports sending correctly.,1,15,N,Security Package
TKT-0000085,ACC-00150,REP-017,2025-04-22,,P3,Billing,Issue with Training - ref 85,Automated reports not sending to correct distribution list after migration.,,,,N,Analytics Module
TKT-0000086,ACC-00197,REP-007,2024-08-21,2024-09-08,P2,Training,Issue with Bug - ref 86,Requesting bulk user provisioning feature for enterprise onboarding.,RLS policy configured correctly. Documentation updated for future reference.,3,149,N,Platform License
TKT-0000087,ACC-00429,REP-016,2024-05-24,2024-06-17,P2,Billing,Issue with Access - ref 87,Automated reports not sending to correct distribution list after migration.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",3,306,N,Security Package
TKT-0000088,ACC-00358,REP-008,2025-04-22,2025-05-03,P4,Feature Request,Issue with Training - ref 88,Need help configuring row-level security for multi-tenant environment.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",3,194,N,Security Package
TKT-0000089,ACC-00078,REP-016,2024-07-16,2024-08-07,P1,Feature Request,Issue with Access - ref 89,System performance degraded significantly during end-of-month close process.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",1,668,N,Platform License
TKT-0000090,ACC-00234,REP-001,2024-09-26,,P2,Billing,Issue with Training - ref 90,Invoice amount does not match contracted rate. Please review attachment.,,,,Y,Security Package
TKT-0000091,ACC-00320,REP-013,2025-02-04,2025-02-13,P1,Training,Issue with Performance - ref 91,Machine learning model predictions diverging significantly from actuals.,RLS policy configured correctly. Documentation updated for future reference.,3,347,N,Platform License
TKT-0000092,ACC-00324,REP-010,2024-11-12,2024-11-15,P2,Integration,Issue with Bug - ref 92,Need help configuring row-level security for multi-tenant environment.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,1,241,N,Analytics Module
TKT-0000093,ACC-00024,REP-011,2024-12-21,2024-12-31,P1,Performance,Issue with Performance - ref 93,API rate limits causing production failures during peak business hours.,RLS policy configured correctly. Documentation updated for future reference.,2,30,N,Security Package
TKT-0000094,ACC-00088,REP-006,2024-10-16,2024-11-07,P1,Access,Issue with Training - ref 94,Need help configuring row-level security for multi-tenant environment.,Identified bottleneck in reporting query. Optimized with clustering key.,2,185,N,Analytics Module
TKT-0000095,ACC-00327,REP-009,2024-04-28,,P4,Performance,Issue with Integration - ref 95,Dashboard loading extremely slow after latest update. Users unable to access reports.,,,,N,Data Integration Suite
TKT-0000096,ACC-00038,REP-015,2024-12-12,2024-12-30,P3,Access,Issue with Performance - ref 96,Need help configuring row-level security for multi-tenant environment.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,4,162,N,Analytics Module
TKT-0000097,ACC-00055,REP-008,2024-07-15,2024-08-12,P4,Access,Issue with Performance - ref 97,System performance degraded significantly during end-of-month close process.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,3,495,Y,Security Package
TKT-0000098,ACC-00443,REP-002,2024-05-20,2024-05-21,P4,Training,Issue with Performance - ref 98,Cannot connect Snowflake integration. Authentication keeps timing out.,Identified bottleneck in reporting query. Optimized with clustering key.,3,580,N,Analytics Module
TKT-0000099,ACC-00387,REP-005,2024-11-13,2024-11-22,P1,Integration,Issue with Integration - ref 99,Dashboard loading extremely slow after latest update. Users unable to access reports.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,4,695,Y,Data Integration Suite
TKT-0000100,ACC-00047,REP-010,2025-01-09,,P3,Integration,Issue with Billing - ref 100,Invoice amount does not match contracted rate. Please review attachment.,,,,N,Analytics Module
TKT-0000101,ACC-00272,REP-017,2025-02-06,2025-02-24,P3,Training,Issue with Feature Request - ref 101,Requesting bulk user provisioning feature for enterprise onboarding.,Distribution list updated and tested. All reports sending correctly.,3,375,N,Platform License
TKT-0000102,ACC-00387,REP-008,2024-08-27,2024-08-30,P4,Training,Issue with Training - ref 102,Machine learning model predictions diverging significantly from actuals.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",1,145,N,Platform License
TKT-0000103,ACC-00233,REP-012,2024-05-15,2024-06-02,P3,Access,Issue with Billing - ref 103,API rate limits causing production failures during peak business hours.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,2,127,N,Platform License
TKT-0000104,ACC-00168,REP-008,2024-11-13,2024-12-12,P1,Integration,Issue with Training - ref 104,Automated reports not sending to correct distribution list after migration.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,4,575,Y,Analytics Module
TKT-0000105,ACC-00156,REP-016,2024-01-24,,P1,Bug,Issue with Feature Request - ref 105,Machine learning model predictions diverging significantly from actuals.,,,,N,Security Package
TKT-0000106,ACC-00487,REP-018,2024-08-20,2024-09-01,P4,Access,Issue with Integration - ref 106,Invoice amount does not match contracted rate. Please review attachment.,RLS policy configured correctly. Documentation updated for future reference.,1,687,N,Security Package
TKT-0000107,ACC-00354,REP-012,2025-04-25,2025-05-04,P2,Billing,Issue with Billing - ref 107,Cannot connect Snowflake integration. Authentication keeps timing out.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",1,34,N,Data Integration Suite
TKT-0000108,ACC-00098,REP-004,2024-02-01,2024-02-14,P4,Bug,Issue with Integration - ref 108,Cannot connect Snowflake integration. Authentication keeps timing out.,Identified bottleneck in reporting query. Optimized with clustering key.,1,283,Y,Data Integration Suite
TKT-0000109,ACC-00106,REP-003,2024-05-04,2024-05-09,P2,Access,Issue with Feature Request - ref 109,Cannot connect Snowflake integration. Authentication keeps timing out.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",2,579,Y,Data Integration Suite
TKT-0000110,ACC-00067,REP-018,2025-03-15,,P3,Training,Issue with Feature Request - ref 110,Data pipeline failing silently. No error logs visible in monitoring console.,,,,Y,Analytics Module
TKT-0000111,ACC-00302,REP-011,2024-01-08,2024-01-20,P1,Feature Request,Issue with Performance - ref 111,Dashboard loading extremely slow after latest update. Users unable to access reports.,Billing team confirmed rate discrepancy. Credit issued to account.,4,244,Y,Platform License
TKT-0000112,ACC-00263,REP-004,2024-08-31,2024-09-15,P4,Access,Issue with Feature Request - ref 112,System performance degraded significantly during end-of-month close process.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",5,371,N,Security Package
TKT-0000113,ACC-00246,REP-013,2024-11-25,2024-11-26,P4,Integration,Issue with Bug - ref 113,Automated reports not sending to correct distribution list after migration.,Distribution list updated and tested. All reports sending correctly.,1,63,Y,Data Integration Suite
TKT-0000114,ACC-00065,REP-009,2024-11-07,2024-11-12,P3,Billing,Issue with Access - ref 114,Machine learning model predictions diverging significantly from actuals.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,4,68,N,Platform License
TKT-0000115,ACC-00059,REP-018,2025-02-10,,P2,Billing,Issue with Billing - ref 115,Cannot connect Snowflake integration. Authentication keeps timing out.,,,,N,Data Integration Suite
TKT-0000116,ACC-00213,REP-004,2025-02-27,2025-03-14,P3,Billing,Issue with Performance - ref 116,Requesting bulk user provisioning feature for enterprise onboarding.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",2,409,N,Platform License
TKT-0000117,ACC-00048,REP-014,2024-02-16,2024-03-14,P1,Integration,Issue with Integration - ref 117,API rate limits causing production failures during peak business hours.,Billing team confirmed rate discrepancy. Credit issued to account.,5,88,Y,Data Integration Suite
TKT-0000118,ACC-00182,REP-014,2024-12-09,2024-12-13,P1,Performance,Issue with Access - ref 118,Requesting bulk user provisioning feature for enterprise onboarding.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",1,421,N,Analytics Module
TKT-0000119,ACC-00434,REP-004,2024-12-02,2024-12-18,P3,Training,Issue with Access - ref 119,API rate limits causing production failures during peak business hours.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,3,230,N,Security Package
TKT-0000120,ACC-00499,REP-018,2025-03-08,,P1,Access,Issue with Integration - ref 120,Requesting bulk user provisioning feature for enterprise onboarding.,,,,Y,Analytics Module
TKT-0000121,ACC-00472,REP-011,2024-05-19,2024-06-11,P3,Bug,Issue with Feature Request - ref 121,Invoice amount does not match contracted rate. Please review attachment.,Identified bottleneck in reporting query. Optimized with clustering key.,4,317,Y,Analytics Module
TKT-0000122,ACC-00047,REP-017,2025-01-14,2025-02-04,P2,Billing,Issue with Billing - ref 122,Automated reports not sending to correct distribution list after migration.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",2,32,N,Data Integration Suite
TKT-0000123,ACC-00306,REP-003,2025-01-04,2025-01-15,P1,Feature Request,Issue with Feature Request - ref 123,System performance degraded significantly during end-of-month close process.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",1,582,N,Security Package
TKT-0000124,ACC-00311,REP-015,2024-12-04,2024-12-18,P4,Performance,Issue with Feature Request - ref 124,Machine learning model predictions diverging significantly from actuals.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,3,498,N,Platform License
TKT-0000125,ACC-00348,REP-016,2024-05-25,,P3,Bug,Issue with Feature Request - ref 125,Need help configuring row-level security for multi-tenant environment.,,,,Y,Platform License
TKT-0000126,ACC-00393,REP-005,2024-04-14,2024-04-24,P3,Performance,Issue with Performance - ref 126,Data pipeline failing silently. No error logs visible in monitoring console.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",4,217,N,Analytics Module
